type,name,view,zone_format,disabled,dnssec,plan,multisigner,vanity_name_server
auth,abrs.ch,default,FORWARD,False,False,enterprise,False,
auth,autonom-daheim.ch,default,FORWARD,False,False,enterprise,False,
auth,autonome-chez-soi.ch,default,FORWARD,False,False,enterprise,False,
auth,autonomi-a-casa.ch,default,FORWARD,False,False,enterprise,False,
auth,banca-regionale.ch,default,FORWARD,False,False,enterprise,False,
auth,bancaregionale.ch,default,FORWARD,False,False,enterprise,False,
auth,banche-regionali.ch,default,FORWARD,False,False,enterprise,False,
auth,bancheregionali.ch,default,FORWARD,False,False,enterprise,False,
auth,banque-regionale.ch,default,FORWARD,False,False,enterprise,False,
auth,banqueregionale.ch,default,FORWARD,False,False,enterprise,False,
auth,banques-regionales.ch,default,FORWARD,False,False,enterprise,False,
auth,banquesregionales.ch,default,FORWARD,False,False,enterprise,False,
auth,berner-krankenversicherer.ch,default,FORWARD,False,False,enterprise,False,
auth,bernerkrankenversicherer.ch,default,FORWARD,False,False,enterprise,False,
auth,bsiintra.ch,default,FORWARD,False,False,enterprise,False,
auth,cliintra.ch,default,FORWARD,False,False,enterprise,False,
auth,directa.ch,default,FORWARD,False,False,enterprise,False,
auth,entris-banking.ch,default,FORWARD,False,False,enterprise,False,
auth,entris-bankning.ch,default,FORWARD,False,False,enterprise,False,
auth,entris-finanz.ch,default,FORWARD,False,False,enterprise,False,
auth,entris-holding.ch,default,FORWARD,False,False,enterprise,False,
auth,entrisbanking.ch,default,FORWARD,False,False,enterprise,False,
auth,gipfelbuch.gr,default,FORWARD,False,False,enterprise,False,
auth,gkb-extra.ch,default,FORWARD,False,False,enterprise,False,
auth,gkb.digital,default,FORWARD,False,False,enterprise,False,
auth,gkbextra.ch,default,FORWARD,False,False,enterprise,False,
auth,gkbtest.ch,default,FORWARD,False,False,enterprise,False,
auth,ihfsholding.ch,default,FORWARD,False,False,enterprise,False,
auth,inventx-dev.ch,default,FORWARD,False,False,enterprise,False,
auth,inventx-events.ch,default,FORWARD,False,False,enterprise,False,"ns1.ixcloud.ch,ns2.ixcloud.ch,ns3.ixcloud.ch,ns4.ixcloud.ch"
auth,inventx.com,default,FORWARD,False,False,enterprise,False,
auth,inventx.li,default,FORWARD,False,False,enterprise,False,
auth,inventx.swiss,default,FORWARD,False,False,enterprise,False,
auth,ixacademy.ch,default,FORWARD,False,False,enterprise,False,
auth,ixofp.ch,default,FORWARD,False,False,enterprise,False,
auth,ixshared.ch,default,FORWARD,False,False,enterprise,False,
auth,kpt-dev.ch,default,FORWARD,False,False,enterprise,False,
auth,kpt-tst.ch,default,FORWARD,False,False,enterprise,False,
auth,krankenversicherung-visana.ch,default,FORWARD,False,False,enterprise,False,
auth,my-visana.ch,default,FORWARD,False,False,enterprise,False,
auth,mypoints.ch,default,FORWARD,False,False,enterprise,False,
auth,myvisana.ch,default,FORWARD,False,False,enterprise,False,
auth,oninventx.ch,default,FORWARD,False,False,enterprise,False,"ns1.ixcloud.ch,ns2.ixcloud.ch,ns3.ixcloud.ch,ns4.ixcloud.ch"
auth,oninventx.com,default,FORWARD,False,False,enterprise,False,"ns1.ixcloud.ch, ns2.ixcloud.ch"
auth,pbbellerive.com,default,FORWARD,False,False,enterprise,False,
auth,pbihag.ch,default,FORWARD,False,False,enterprise,False,
auth,privor.ch,default,FORWARD,False,False,enterprise,False,
auth,proventx.ch,default,FORWARD,False,False,enterprise,False,"ns1.ixcloud.ch,ns2.ixcloud.ch"
auth,pvs-visana.ch,default,FORWARD,False,False,enterprise,False,
auth,regional-banken.ch,default,FORWARD,False,False,enterprise,False,
auth,regionalbank.ch,default,FORWARD,False,False,enterprise,False,
auth,regionalbanken.ch,default,FORWARD,False,False,enterprise,False,
auth,romontschia.ch,default,FORWARD,False,False,enterprise,False,
auth,sana-24.ch,default,FORWARD,False,False,enterprise,False,
auth,sana24.ch,default,FORWARD,False,False,enterprise,False,
auth,saveyourfriends.ch,default,FORWARD,False,False,enterprise,False,
auth,stratusworks.ch,default,FORWARD,False,False,enterprise,False,
auth,swissic.ch,default,FORWARD,False,False,enterprise,False,
auth,swissic.net,default,FORWARD,False,False,enterprise,False,
auth,visana-ag.ch,default,FORWARD,False,False,enterprise,False,
auth,visana-ag.com,default,FORWARD,False,False,enterprise,False,
auth,visana-club.ch,default,FORWARD,False,False,enterprise,False,
auth,visana-finanz.ch,default,FORWARD,False,False,enterprise,False,
auth,visana-plus.ch,default,FORWARD,False,False,enterprise,False,
auth,visana-services.com,default,FORWARD,False,False,enterprise,False,
auth,visana-versicherung.ch,default,FORWARD,False,False,enterprise,False,
auth,visana-versicherungen.ch,default,FORWARD,False,False,enterprise,False,
auth,visana.ch,default,FORWARD,False,False,enterprise,False,
auth,visana.com,default,FORWARD,False,False,enterprise,False,
auth,visana.eu,default,FORWARD,False,False,enterprise,False,
auth,visanaclub.ch,default,FORWARD,False,False,enterprise,False,
auth,visanaplus.ch,default,FORWARD,False,False,enterprise,False,
auth,visanatest.ch,default,FORWARD,False,False,enterprise,False,
auth,viva-care.ch,default,FORWARD,False,False,enterprise,False,
auth,vivacare.ch,default,FORWARD,False,False,enterprise,False,
auth,vorsorge-konto.ch,default,FORWARD,False,False,enterprise,False,
auth,vsrb.ch,default,FORWARD,False,False,enterprise,False,
auth,wwwvisana.ch,default,FORWARD,False,False,enterprise,False,
auth,176.10.45.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,177.10.45.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,178.10.45.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,179.10.45.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,0.252.145.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,1.252.145.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,60.178.185.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,61.178.185.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,62.178.185.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,63.178.185.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,241.192.193.in-addr.arpa,default,FORWARD,False,False,enterprise,False,
auth,graubuendner-kantonalbank.ch,default,FORWARD,False,True,enterprise,False,
auth,albinkistler.ch,default,FORWARD,False,True,enterprise,False,
auth,inventix.ch,default,FORWARD,False,true,enterprise,False,"ns1.ixcloud.ch,ns2.ixcloud.ch"
auth,graubuendnerkantonalbank.ch,default,FORWARD,False,True,enterprise,False,
auth,grkb.ch,default,FORWARD,False,True,enterprise,False,
auth,inventx.ch,default,FORWARD,False,True,enterprise,False,
auth,bellerivebanking.ch,default,FORWARD,False,True,enterprise,False,
auth,ixcloud.ch,default,FORWARD,False,True,enterprise,False,
auth,akp.ch,default,FORWARD,False,True,enterprise,False,
auth,gkb.ch,default,FORWARD,False,True,enterprise,False,
auth,zukunftistjetzt.ch,default,FORWARD,False,True,enterprise,False,
auth,pbbellerive.ch,default,FORWARD,False,True,enterprise,False,
